Tomo Format 2 
fSourceX(m.) fSourceY(m.) fSourceZ(m.) fSourceAngleX(rad.) fSourceAngleY(rad.) 	 fReceiverX(m.) fReceiverY(m.) fReceiverZ(m.) fReceiverAngleX(rad.) fReceiverAngleY(rad.) 	 fTime(s.)
fV0(m./s.) 3500
1252.42 0 511.207 -0.637488 0 1502.42 0 511.207 0.637488 0 0.125526
1127.42 0 511.207 -0.976988 0 1627.42 0 511.207 0.976988 0 0.177877
1002.42 0 511.207 -1.1479 0 1752.42 0 511.207 1.1479 0 0.240502
877.416 0 511.207 -1.24526 0 1877.42 0 511.207 1.24526 0 0.307066
627.416 0 511.207 -1.34945 0 2127.42 0 511.207 1.34945 0 0.444803
377.416 0 511.207 -1.4036 0 2377.42 0 511.207 1.4036 0 0.585024
1377.42 0 511.39 -0.543025 0 1627.42 0 511.39 0.543025 0 0.145171
1252.42 0 511.39 -0.878957 0 1752.42 0 511.39 0.878957 0 0.192449
1127.42 0 511.39 -1.0662 0 1877.42 0 511.39 1.0662 0 0.251733
1002.42 0 511.39 -1.17809 0 2002.42 0 511.39 1.17809 0 0.316194
752.416 0 511.39 -1.30137 0 2252.42 0 511.39 1.30137 0 0.45155
502.416 0 511.39 -1.36658 0 2502.42 0 511.39 1.36658 0 0.590494
1502.42 0 511.504 -0.470914 0 1752.42 0 511.504 0.470914 0 0.165865
1377.42 0 511.504 -0.794432 0 1877.42 0 511.504 0.794432 0 0.208659
1252.42 0 511.504 -0.991103 0 2002.42 0 511.504 0.991103 0 0.264559
1127.42 0 511.504 -1.11434 0 2127.42 0 511.504 1.11434 0 0.326732
877.416 0 511.504 -1.25443 0 2377.42 0 511.504 1.25443 0 0.459381
627.416 0 511.504 -1.33004 0 2627.42 0 511.504 1.33004 0 0.596829
1627.42 0 511.576 -0.411851 0 1877.42 0 511.576 0.411851 0 0.188497
1502.42 0 511.576 -0.718074 0 2002.42 0 511.576 0.718074 0 0.227192
1377.42 0 511.576 -0.918984 0 2127.42 0 511.576 0.918984 0 0.279609
1252.42 0 511.576 -1.05099 0 2252.42 0 511.576 1.05099 0 0.339258
1002.42 0 511.576 -1.20631 0 2502.42 0 511.576 1.20631 0 0.468767
752.416 0 511.576 -1.29209 0 2752.42 0 511.576 1.29209 0 0.604425
1752.42 0 511.511 -0.370359 0 2002.42 0 511.511 0.370359 0 0.208933
1627.42 0 511.511 -0.66028 0 2127.42 0 511.511 0.66028 0 0.244507
1502.42 0 511.511 -0.861391 0 2252.42 0 511.511 0.861391 0 0.294009
1377.42 0 511.511 -0.998742 0 2377.42 0 511.511 0.998742 0 0.351405
1127.42 0 511.511 -1.16533 0 2627.42 0 511.511 1.16533 0 0.477975
877.416 0 511.511 -1.25934 0 2877.42 0 511.511 1.25934 0 0.6119
1877.42 0 511.389 -0.341646 0 2127.42 0 511.389 0.341646 0 0.226144
1752.42 0 511.389 -0.61819 0 2252.42 0 511.389 0.61819 0 0.259441
1627.42 0 511.389 -0.817693 0 2377.42 0 511.389 0.817693 0 0.306664
1502.42 0 511.389 -0.958022 0 2502.42 0 511.389 0.958022 0 0.362209
1252.42 0 511.389 -1.1325 0 2752.42 0 511.389 1.1325 0 0.48626
1002.42 0 511.389 -1.23276 0 3002.42 0 511.389 1.23276 0 0.618656
2002.42 0 511.055 -0.32724 0 2252.42 0 511.055 0.32724 0 0.236094
1877.42 0 511.055 -0.596416 0 2377.42 0 511.055 0.596416 0 0.268212
1752.42 0 511.055 -0.794481 0 2502.42 0 511.055 0.794481 0 0.314204
1627.42 0 511.055 -0.935992 0 2627.42 0 511.055 0.935992 0 0.368715
1377.42 0 511.055 -1.11438 0 2877.42 0 511.055 1.11438 0 0.491318
1127.42 0 511.055 -1.21796 0 3127.42 0 511.055 1.21796 0 0.622816
2127.42 0 510.686 -0.314103 0 2377.42 0 510.686 0.314103 0 0.246007
2002.42 0 510.686 -0.576175 0 2502.42 0 510.686 0.576175 0 0.277029
1877.42 0 510.686 -0.772521 0 2627.42 0 510.686 0.772521 0 0.321844
1752.42 0 510.686 -0.914889 0 2752.42 0 510.686 0.914889 0 0.375345
1502.42 0 510.686 -1.09677 0 3002.42 0 510.686 1.09677 0 0.496503
1252.42 0 510.686 -1.20348 0 3252.42 0 510.686 1.20348 0 0.627091
